"","SAMPLING_cruise","depth","library","libraryID","locus","original_name","samp_collection_device","sample_type.x","sample_type.y","CTD_or_ESP","ESP_CTD","ESP_CTD_ID","matching_ID"
"CN18Fc40_6_eDNA_GG","CN18F","25.0","GG15","GG","COI","CN18Fc40_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD8","CN18F8"
"CN18Fc41_6_eDNA_GG","CN18F","25.0","GG16","GG","COI","CN18Fc41_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD7","CN18F7"
"CN18Fc43_5_eDNA_GG","CN18F","30.0","GG17","GG","COI","CN18Fc43_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD6","CN18F6"
"CN18Fc44_8_eDNA_GG","CN18F","20.0","GG18","GG","COI","CN18Fc44_8_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD5","CN18F5"
"CN18Fc46_8_eDNA_GG","CN18F","10.0","GG19","GG","COI","CN18Fc46_8_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD4","CN18F4"
"CN18Fc47_6_eDNA_GG","CN18F","25.0","GG20","GG","COI","CN18Fc47_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD3","CN18F3"
"CN18Fc49_6_eDNA_GG","CN18F","25.0","GG21","GG","COI","CN18Fc49_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD2","CN18F2"
"CN18Fc51_5_eDNA_GG","CN18F","35.0","GG22","GG","COI","CN18Fc51_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD1","CN18F1"
"CN18SESPkoa_SC32_Y","CN18S","199.9900054","Y83","Y","COI","CN18SESPkoa_SC32","3G_ESP","environmental",NA,NA,NA,NA,NA
"CN18SESPkoa_SC36_Y","CN18S","29.96195043","Y80","Y","COI","CN18SESPkoa_SC36","3G_ESP","environmental","environmental","ESP","","ESP1","CN18S1"
"CN18SESPkoa_SC37_Y","CN18S","200.0087146","Y79","Y","COI","CN18SESPkoa_SC37","3G_ESP","environmental","environmental","ESP","","ESP2","CN18S2"
"CN18SESPkoa_SC39_Y","CN18S","29.99480987","Y78","Y","COI","CN18SESPkoa_SC39","3G_ESP","environmental","environmental","ESP","","ESP3","CN18S3"
"CN18SESPkoa_SC40_Y","CN18S","200.0025287","Y77","Y","COI","CN18SESPkoa_SC40","3G_ESP","environmental","environmental","ESP","","ESP4","CN18S4"
"CN18SESPkoa_SC41_Y","CN18S","29.97452523","Y76","Y","COI","CN18SESPkoa_SC41","3G_ESP","environmental","environmental","ESP","","ESP5","CN18S5"
"CN18SESPkoa_SC42_Y","CN18S","200.0034874","Y75","Y","COI","CN18SESPkoa_SC42","3G_ESP","environmental","environmental","ESP","","ESP6","CN18S6"
"CN18SESPkoa_SC44_Y","CN18S","30.00030977","Y74","Y","COI","CN18SESPkoa_SC44","3G_ESP","environmental","environmental","ESP","","ESP7","CN18S7"
"CN18SESPkoa_SC45_Y","CN18S","199.9964608","Y73","Y","COI","CN18SESPkoa_SC45","3G_ESP","environmental","environmental","ESP","","ESP8","CN18S8"
"CN18SESPkoa_SC47_Y","CN18S","200.0084395","Y72","Y","COI","CN18SESPkoa_SC47","3G_ESP","environmental","environmental","ESP","","ESP9","CN18S9"
"CN18SESPkoa_SC49_Y","CN18S","200.0050058","Y71","Y","COI","CN18SESPkoa_SC49","3G_ESP","environmental","environmental","ESP","","ESP10","CN18S10"
"CN18S_koa3G_BN1post_FF","CN18S","","FF82","FF","COI","CN18S_koa3G_BN1post","3G_ESP","negative","blank_esp_post","","","",""
"CN18S_koa3G_BN1pre_FF","CN18S","","FF85","FF","COI","CN18S_koa3G_BN1pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18S_koa3G_BN2post_FF","CN18S","","FF83","FF","COI","CN18S_koa3G_BN2post","3G_ESP","negative","blank_esp_post","","","",""
"CN18S_koa3G_BN2pre_FF","CN18S","","FF86","FF","COI","CN18S_koa3G_BN2pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18S_koa3G_BN3post_FF","CN18S","","FF84","FF","COI","CN18S_koa3G_BN3post","3G_ESP","negative","blank_esp_post","","","",""
"CN18S_koa3G_BN3pre_FF","CN18S","","FF87","FF","COI","CN18S_koa3G_BN3pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18S_koa3G_BP1_FF","CN18S","","FF88","FF","COI","CN18S_koa3G_BP1","3G_ESP","positive","positive","","","",""
"CN18S_koa3G_BP2_FF","CN18S","","FF89","FF","COI","CN18S_koa3G_BP2","3G_ESP","positive","positive","","","",""
"CN18S_koa3G_BP3_FF","CN18S","","FF90","FF","COI","CN18S_koa3G_BP3","3G_ESP","positive","positive","","","",""
"CN18S_koa3G_SC29_FF","CN18S","","FF81","FF","COI","CN18S_koa3G_SC29","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC30_FF","CN18S","","FF80","FF","COI","CN18S_koa3G_SC30","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC31_FF","CN18S","","FF79","FF","COI","CN18S_koa3G_SC31","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC57_FF","CN18S","","FF78","FF","COI","CN18S_koa3G_SC57","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC58_FF","CN18S","","FF77","FF","COI","CN18S_koa3G_SC58","3G ESP","negative","environmental","","","",""
"CN18S_koa3G_SC59_FF","CN18S","","FF76","FF","COI","CN18S_koa3G_SC59","3G ESP","negative","environmental","","","",""
"CN18S_koa3G_SC60_FF","CN18S","","FF75","FF","COI","CN18S_koa3G_SC60","3G ESP","positive","environmental","","","",""
"CN18Sc09_2_eDNA_Y","CN18S","200.0","Y1","Y","COI","CN18Sc09_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD10","CN18S10"
"CN18Sc10_2_eDNA_Y","CN18S","200.0","Y3","Y","COI","CN18Sc10_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD9","CN18S9"
"CN18Sc14_2_eDNA_Y","CN18S","195.0","Y15","Y","COI","CN18Sc14_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD8","CN18S8"
"CN18Sc14_8_eDNA_Y","CN18S","30.0","Y18","Y","COI","CN18Sc14_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD7","CN18S7"
"CN18Sc15_2_eDNA_Y","CN18S","195.0","Y21","Y","COI","CN18Sc15_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD6","CN18S6"
"CN18Sc15_8_eDNA_Y","CN18S","30.0","Y24","Y","COI","CN18Sc15_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD5","CN18S5"
"CN18Sc18_2_eDNA_Y","CN18S","200.0","Y34","Y","COI","CN18Sc18_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD4","CN18S4"
"CN18Sc18_8_eDNA_Y","CN18S","30.0","Y35","Y","COI","CN18Sc18_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD3","CN18S3"
"CN18Sc27_2_eDNA_Y","CN18S","200.0","Y38","Y","COI","CN18Sc27_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD2","CN18S2"
"CN18Sc27_8_eDNA_Y","CN18S","30.0","Y39","Y","COI","CN18Sc27_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD1","CN18S1"
"pcr_blank_1_FF","CN18F","","FF32","FF","COI","pcr_blank_1","","negative",NA,NA,NA,NA,NA
"pcr_blank_2_FF","CN18F","","FF64","FF","COI","pcr_blank_2","","negative",NA,NA,NA,NA,NA
"pcr_blank_3_FF","CN18F","","FF96","FF","COI","pcr_blank_3","","negative",NA,NA,NA,NA,NA
"pcrblank_1_GG","","","GG32","GG","COI","pcrblank_1","","negative",NA,NA,NA,NA,NA
"pcrblank_1_Y","CN18S","","Y32","Y","COI","pcrblank_1","","negative",NA,NA,NA,NA,NA
"pcrblank_2_GG","","","GG64","GG","COI","pcrblank_2","","negative",NA,NA,NA,NA,NA
"pcrblank_2_Y","CN18S","","Y64","Y","COI","pcrblank_2","","negative",NA,NA,NA,NA,NA
"pcrblank_3_GG","","","GG96","GG","COI","pcrblank_3","","negative",NA,NA,NA,NA,NA
"pcrblank_3_Y","","","Y96","Y","COI","pcrblank_3","","negative",NA,NA,NA,NA,NA
