#OTUID	CANON_B10_22_X	CANON_B13_22_X	CANON_B17_22_X	CANON_B1_22_X	CANON_CBI1_22_X	CANON_CBI4_22_X	CANON_CBI5_22_X	CANON_CBI8_22_X
ASV_8272	0	71	779	152	0	0	12	257
ASV_8274	3	0	0	0	0	0	5	0
ASV_8277	0	0	0	0	0	0	1	0
ASV_8281	0	0	0	0	0	0	13	0
ASV_8283	0	0	24	12	0	0	0	20
ASV_8285	245	471	1003	286	0	224	46	517
ASV_8286	0	0	0	0	0	3	5	0
ASV_8287	0	0	0	4	0	0	0	0
ASV_8290	1118	3212	2289	1126	27	780	2008	1464
ASV_8293	0	0	0	0	0	0	5	0
ASV_8295	0	0	0	0	0	0	0	0
ASV_8296	2	17	0	120	0	26	56	0
ASV_8301	0	43	31	23	0	0	3	26
ASV_8302	6	18	96	50	18	0	7	74
ASV_8303	145	333	1166	984	1720	56	200	1086
ASV_8304	165	37	98	30	0	42	38	117
ASV_8305	0	0	305	0	0	0	0	0
ASV_8307	72	5223	108	22	1	2368	8616	13
ASV_8308	7	443	629	451	0	52	240	325
ASV_8309	78	45	153	45	0	42	24	464
ASV_8310	5	24	0	0	0	55	15	0
ASV_8311	0	27	1	33	0	7	17	0
ASV_8312	113	78	2	3	0	7	25	26
ASV_8314	0	9	368	98	0	7	12	143
ASV_8316	1699	1540	0	47	0	242	405	0
ASV_8318	0	3	0	0	0	0	0	0
ASV_8324	0	109	156	33	0	7	11	18
ASV_8329	0	0	0	0	0	0	0	0
ASV_8330	0	0	0	13	0	0	0	27
ASV_8331	74	90	69	201	0	67	108	166
ASV_8332	3	4	0	1	0	5	0	0
ASV_8333	0	0	0	0	0	0	6	0
ASV_8336	0	0	0	0	0	0	0	0
ASV_8340	0	0	0	0	0	0	78	0
ASV_8341	0	33	9	15	0	12	29	10
ASV_8347	0	0	0	0	0	0	1	0
ASV_8349	60	159	0	10	0	24	126	0
ASV_8350	1918	2856	127	22	0	325	1098	39
ASV_8351	9	30	1	3	0	1	35	0
ASV_8352	0	14	0	0	0	5	0	0
ASV_8353	0	0	0	0	0	0	0	0
ASV_8354	0	1	0	0	0	0	1	0
ASV_8355	0	0	0	0	2	1	0	0
ASV_8356	0	0	1045	0	0	0	0	0
ASV_8357	0	0	0	2	0	0	0	0
ASV_8360	130	24	0	56	0	16	14	0
ASV_8361	37	91	421	302	373	23	50	387
ASV_8363	0	0	0	17	0	0	0	0
ASV_8367	119	460	124	95	12	39	278	236
ASV_8370	0	0	1	0	0	0	0	1
ASV_8372	0	0	4	0	0	0	0	4
ASV_8373	0	2786	0	0	0	210	0	11
ASV_8379	0	0	23	0	0	0	0	0
ASV_8380	0	0	0	0	0	0	3	0
ASV_8381	0	6	44	22	0	2	5	24
ASV_8385	0	0	0	12	0	0	0	23
ASV_8387	3	15	7	0	0	0	12	1
ASV_8390	896	529	245	26	0	54	299	86
ASV_8392	0	0	11	21	0	0	6	80
ASV_8393	0	0	0	0	0	0	6	0
ASV_8395	2	329	114	24	96	231	196	226
ASV_8396	0	0	18	1	0	0	1	25
ASV_8399	0	0	0	0	0	0	0	0
ASV_8400	0	23	0	0	0	92	31	16
ASV_8401	0	0	0	0	0	0	0	24
ASV_8402	0	0	7	0	0	0	0	0
