#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_27791	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_27793	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_27795	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_27798	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_27800	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_27804	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_27808	Eukaryota	unknown	Pelagophyceae	Pelagomonadales	unknown	Aureococcus	Aureococcus anophagefferens
ASV_27809	Eukaryota	Porifera	Demospongiae	Axinellida	unassigned	g_	s_
ASV_27815	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	g_	s_
ASV_27864	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	g_	s_
ASV_27865	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_27866	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_27867	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	g_	s_
ASV_27869	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	g_	s_
ASV_27872	Eukaryota	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria graminis
ASV_27873	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27875	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_27876	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27877	Eukaryota	unknown	Dinophyceae	Syndiniales	Syndiniaceae	g_	s_
ASV_27879	Eukaryota	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	g_	s_
ASV_27880	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Obelia	s_
ASV_27882	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis	s_
ASV_27885	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27886	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27887	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27888	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	g_	s_
ASV_27893	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_27894	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_27901	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_27905	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_27908	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	g_	s_
ASV_27909	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27919	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27990	Eukaryota	Arthropoda	Insecta	Diptera	unassigned	g_	s_
ASV_27991	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_27992	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	g_	s_
ASV_27993	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Paraphysomonadaceae	g_	s_
ASV_27994	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	g_	s_
ASV_27995	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	g_	s_
ASV_27998	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_27999	Eukaryota	Cnidaria	Hydrozoa	unassigned	unassigned	g_	s_
ASV_28002	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Prayidae	g_	s_
ASV_28003	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_28007	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_28008	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_28009	Eukaryota	Bacillariophyta	Coscinodiscophyceae	unassigned	unassigned	g_	s_
ASV_28012	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	g_	s_
ASV_28016	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_28020	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_28026	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Attheyaceae	Attheya	Attheya longicornis
ASV_28027	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_28032	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Bougainvilliidae	g_	s_
ASV_28033	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_28035	Bacteria	unknown	unknown	unknown	unknown	g_	s_
ASV_28037	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_28039	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_28042	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_28050	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	unassigned	g_	s_
ASV_28052	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_28053	Eukaryota	Annelida	Polychaeta	Phyllodocida	Polynoidae	g_	s_
ASV_28109	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	unassigned	g_	s_
ASV_28110	Eukaryota	Ochrophyta	Phaeophyceae	unassigned	unassigned	g_	s_
ASV_28120	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Mazzaella	Mazzaella flaccida
ASV_28121	Eukaryota	Ochrophyta	Phaeophyceae	unassigned	unassigned	g_	s_
