#OTUID	CN18SKOA_ESP36_NN	CN18SKOA_ESP39_NN	CN18SKOA_ESP41_NN	CN18SKOA_ESP44_NN	CN18Sc14_8_eDNA_NN	CN18Sc15_8_eDNA_NN	CN18Sc18_8_eDNA_NN	CN18Sc27_8_eDNA_NN
ASV_1720	0	0	0	0	0	0	0	0
ASV_1721	0	0	0	0	0	0	0	0
ASV_1723	0	0	0	0	0	0	0	0
ASV_1725	0	0	0	0	0	0	0	0
ASV_1727	0	0	0	3	3	0	0	1
ASV_1728	0	0	0	0	0	0	0	0
ASV_1729	0	0	0	0	0	0	0	0
ASV_1730	0	0	0	0	0	0	0	0
ASV_1731	0	0	0	0	0	0	0	0
ASV_1732	0	0	0	0	0	0	0	0
ASV_1733	0	0	0	0	0	0	0	0
ASV_1735	0	0	0	0	0	0	0	0
ASV_1737	0	0	0	0	0	0	0	0
ASV_1738	0	0	0	0	0	0	0	0
ASV_1739	0	0	0	0	0	0	0	0
ASV_1741	0	0	0	0	0	0	0	0
ASV_1742	0	0	0	0	0	0	0	0
ASV_1744	0	0	0	0	0	0	0	0
ASV_1745	0	0	0	0	0	0	0	0
ASV_1746	0	0	0	0	0	0	0	0
ASV_1747	0	0	0	0	0	0	0	0
ASV_1748	0	0	0	0	0	0	0	0
ASV_1749	0	0	0	0	0	0	0	0
ASV_1750	0	0	0	0	0	0	0	0
ASV_1751	0	0	0	0	0	0	0	0
ASV_1752	0	0	0	0	0	0	0	0
ASV_1753	0	0	0	0	0	0	0	0
ASV_1754	0	0	0	0	0	0	0	0
ASV_1757	0	0	0	0	0	0	0	0
ASV_1758	0	0	0	0	0	0	0	0
ASV_1760	0	0	0	0	0	0	0	0
ASV_1761	0	0	0	0	0	0	0	0
ASV_1762	0	0	0	0	0	0	0	0
ASV_1763	0	0	0	0	0	0	0	0
ASV_1764	0	0	0	0	0	0	0	0
ASV_1765	0	0	0	0	0	0	0	0
ASV_1766	0	0	0	0	0	0	0	0
ASV_1768	0	0	0	0	0	0	0	0
ASV_1769	0	0	0	0	0	0	0	0
ASV_1770	0	0	0	0	0	0	0	0
ASV_1771	0	0	0	0	0	0	0	0
ASV_1772	0	0	0	0	0	0	0	0
ASV_1773	0	0	0	0	0	0	0	0
ASV_1774	0	0	0	0	0	0	0	0
ASV_1775	0	0	0	0	0	0	0	0
ASV_1776	0	0	0	0	0	0	0	0
ASV_1778	0	0	0	0	0	0	0	0
ASV_1779	0	0	0	0	0	0	0	0
ASV_1780	0	0	0	0	0	0	0	0
ASV_1781	0	0	0	0	0	0	0	0
ASV_1782	0	0	0	0	0	0	0	0
ASV_1784	0	0	0	0	0	0	0	0
ASV_1787	2	1	0	5	0	2	9	0
ASV_1788	0	0	0	0	0	0	0	0
ASV_1789	0	0	0	0	0	0	0	0
ASV_1790	0	0	0	0	0	0	0	0
ASV_1791	0	0	0	0	0	0	0	0
ASV_1792	0	0	0	0	0	0	0	0
ASV_1793	0	0	0	0	0	0	0	0
ASV_1794	0	0	0	0	0	0	0	0
ASV_1795	0	0	0	0	0	0	0	0
ASV_1796	0	0	0	0	0	0	0	0
ASV_1797	0	0	0	0	0	0	0	0
ASV_1798	0	0	0	0	0	0	0	0
ASV_1799	0	0	0	0	0	0	0	0
ASV_1800	0	0	0	0	0	0	0	0
ASV_1801	0	0	0	0	0	0	0	0
ASV_1802	0	0	0	0	0	0	0	0
ASV_1805	0	0	0	0	0	0	0	0
ASV_1807	0	0	0	0	0	0	0	0
ASV_1808	0	0	0	0	0	0	0	0
ASV_1810	0	0	0	0	0	0	0	0
ASV_1811	0	0	1	0	0	0	0	0
ASV_1812	0	0	0	0	0	0	0	0
ASV_1813	0	0	0	0	0	0	0	0
ASV_1814	0	0	0	0	0	0	0	0
ASV_1816	0	0	0	0	0	0	0	0
ASV_1817	0	0	0	0	0	0	0	0
ASV_1818	0	0	0	0	0	0	0	0
ASV_1821	0	0	0	0	0	0	0	0
ASV_1823	0	0	0	0	0	0	0	0
ASV_1824	0	0	0	0	0	0	0	0
ASV_1825	0	0	0	0	0	0	0	0
ASV_1826	0	0	0	0	0	0	0	0
ASV_1827	0	0	0	0	0	0	0	0
ASV_1828	0	0	0	0	0	0	0	0
ASV_1829	0	0	1	0	0	0	0	0
ASV_1832	0	0	0	2	0	0	0	0
ASV_1833	0	0	0	0	0	0	0	0
ASV_1834	0	0	0	0	0	0	0	0
ASV_1835	0	0	0	0	0	0	0	0
ASV_1837	0	0	0	0	0	0	0	0
ASV_1838	0	0	0	0	0	0	0	0
ASV_1839	0	0	0	0	0	0	0	0
ASV_1840	0	0	0	0	0	0	0	0
ASV_1841	0	0	0	0	0	0	0	0
ASV_1842	0	0	0	0	0	0	0	0
ASV_1843	0	0	0	0	0	0	0	0
ASV_1845	0	0	0	0	0	0	0	0
ASV_1848	0	0	0	0	0	0	0	0
ASV_1849	0	0	0	0	0	0	0	0
ASV_1850	0	0	0	0	0	0	0	0
ASV_1852	0	0	0	0	0	0	0	0
ASV_1857	0	0	0	0	0	0	0	0
ASV_1858	0	0	0	0	0	0	0	0
ASV_1861	0	0	0	0	0	0	0	0
ASV_1862	0	0	0	0	0	0	0	0
ASV_1863	0	0	0	0	0	0	0	0
ASV_1867	0	0	0	0	0	0	0	0
ASV_1870	0	0	0	0	0	0	0	0
ASV_1871	0	0	0	0	0	0	0	0
ASV_1872	0	0	0	0	0	0	0	0
ASV_1873	0	0	0	0	0	0	0	0
ASV_1874	0	0	0	0	0	0	0	0
ASV_1876	0	0	0	0	0	0	0	0
