#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID
CN18Fc36_6_eDNA_HH	CN18F	 20.00000	HH58	HH	18S	CN18Fc36_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD10	CN18F10
CN18Fc38_5_eDNA_HH	CN18F	 30.00000	HH70	HH	18S	CN18Fc38_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD9	CN18F9
CN18Fc40_6_eDNA_HH	CN18F	 25.00000	HH82	HH	18S	CN18Fc40_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD8	CN18F8
CN18Fc41_6_eDNA_HH	CN18F	 25.00000	HH94	HH	18S	CN18Fc41_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD7	CN18F7
CN18Fc43_5_eDNA_HH	CN18F	 30.00000	HH11	HH	18S	CN18Fc43_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD6	CN18F6
CN18Fc44_8_eDNA_HH	CN18F	 20.00000	HH23	HH	18S	CN18Fc44_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD5	CN18F5
CN18Fc46_8_eDNA_HH	CN18F	 10.00000	HH35	HH	18S	CN18Fc46_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD4	CN18F4
CN18Fc47_6_eDNA_HH	CN18F	 25.00000	HH47	HH	18S	CN18Fc47_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD3	CN18F3
CN18Fc49_6_eDNA_HH	CN18F	 25.00000	HH59	HH	18S	CN18Fc49_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD2	CN18F2
CN18Fc51_5_eDNA_HH	CN18F	 35.00000	HH71	HH	18S	CN18Fc51_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD1	CN18F1
CN18SESPkoa_SC36_AA	CN18S	 29.96195	AA80	AA	18S	CN18SESPkoa_SC36	3G_ESP	environmental	environmental	ESP		ESP1	CN18S1
CN18SESPkoa_SC37_AA	CN18S	200.00871	AA79	AA	18S	CN18SESPkoa_SC37	3G_ESP	environmental	environmental	ESP		ESP2	CN18S2
CN18SESPkoa_SC39_AA	CN18S	 29.99481	AA78	AA	18S	CN18SESPkoa_SC39	3G_ESP	environmental	environmental	ESP		ESP3	CN18S3
CN18SESPkoa_SC40_AA	CN18S	200.00253	AA77	AA	18S	CN18SESPkoa_SC40	3G_ESP	environmental	environmental	ESP		ESP4	CN18S4
CN18SESPkoa_SC41_AA	CN18S	 29.97453	AA76	AA	18S	CN18SESPkoa_SC41	3G_ESP	environmental	environmental	ESP		ESP5	CN18S5
CN18SESPkoa_SC42_AA	CN18S	200.00349	AA75	AA	18S	CN18SESPkoa_SC42	3G_ESP	environmental	environmental	ESP		ESP6	CN18S6
CN18SESPkoa_SC44_AA	CN18S	 30.00031	AA74	AA	18S	CN18SESPkoa_SC44	3G_ESP	environmental	environmental	ESP		ESP7	CN18S7
CN18SESPkoa_SC45_AA	CN18S	199.99646	AA73	AA	18S	CN18SESPkoa_SC45	3G_ESP	environmental	environmental	ESP		ESP8	CN18S8
CN18SESPkoa_SC47_AA	CN18S	200.00844	AA72	AA	18S	CN18SESPkoa_SC47	3G_ESP	environmental	environmental	ESP		ESP9	CN18S9
CN18SESPkoa_SC49_AA	CN18S	200.00501	AA71	AA	18S	CN18SESPkoa_SC49	3G_ESP	environmental	environmental	ESP		ESP10	CN18S10
CN18S_koa3G_BN1post_CC	CN18S	NA	CC85	CC	18S	CN18S_koa3G_BN1post	3G_ESP	negative	blank_esp_post				
CN18S_koa3G_BN1pre_CC	CN18S	NA	CC88	CC	18S	CN18S_koa3G_BN1pre	3G_ESP	negative	blank_esp_pre				
CN18S_koa3G_BN2post_CC	CN18S	NA	CC86	CC	18S	CN18S_koa3G_BN2post	3G_ESP	negative	blank_esp_post				
CN18S_koa3G_BN2pre_CC	CN18S	NA	CC89	CC	18S	CN18S_koa3G_BN2pre	3G_ESP	negative	blank_esp_pre				
CN18S_koa3G_BN3post_CC	CN18S	NA	CC87	CC	18S	CN18S_koa3G_BN3post	3G_ESP	negative	blank_esp_post				
CN18S_koa3G_BN3pre_CC	CN18S	NA	CC90	CC	18S	CN18S_koa3G_BN3pre	3G_ESP	negative	blank_esp_pre				
CN18S_koa3G_SC29_CC	CN18S	NA	CC84	CC	18S	CN18S_koa3G_SC29	3G_ESP	negative	environmental				
CN18S_koa3G_SC30_CC	CN18S	NA	CC83	CC	18S	CN18S_koa3G_SC30	3G_ESP	negative	environmental				
CN18S_koa3G_SC31_CC	CN18S	NA	CC82	CC	18S	CN18S_koa3G_SC31	3G_ESP	negative	environmental				
CN18S_koa3G_SC57_CC	CN18S	NA	CC81	CC	18S	CN18S_koa3G_SC57	3G_ESP	negative	environmental				
CN18S_koa3G_SC58_CC	CN18S	NA	CC80	CC	18S	CN18S_koa3G_SC58	3G ESP	negative	environmental				
CN18S_koa3G_SC59_CC	CN18S	NA	CC79	CC	18S	CN18S_koa3G_SC59	3G ESP	negative	environmental				
CN18Sc09_2_eDNA_AA	CN18S	200.00000	AA1	AA	18S	CN18Sc09_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD10	CN18S10
CN18Sc10_2_eDNA_AA	CN18S	200.00000	AA3	AA	18S	CN18Sc10_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD9	CN18S9
CN18Sc14_2_eDNA_AA	CN18S	195.00000	AA15	AA	18S	CN18Sc14_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD8	CN18S8
CN18Sc14_8_eDNA_AA	CN18S	 30.00000	AA18	AA	18S	CN18Sc14_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD7	CN18S7
CN18Sc15_2_eDNA_AA	CN18S	195.00000	AA21	AA	18S	CN18Sc15_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD6	CN18S6
CN18Sc15_8_eDNA_AA	CN18S	 30.00000	AA24	AA	18S	CN18Sc15_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD5	CN18S5
CN18Sc18_2_eDNA_AA	CN18S	200.00000	AA34	AA	18S	CN18Sc18_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD4	CN18S4
CN18Sc18_8_eDNA_AA	CN18S	 30.00000	AA35	AA	18S	CN18Sc18_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD3	CN18S3
CN18Sc27_2_eDNA_AA	CN18S	200.00000	AA38	AA	18S	CN18Sc27_2_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD2	CN18S2
CN18Sc27_8_eDNA_AA	CN18S	 30.00000	AA39	AA	18S	CN18Sc27_8_eDNA	CTD/SBE911_Rosette_with_Niskin_bottle	environmental	environmental	CTD		CTD1	CN18S1
pcr_blank_1_CC	CN18F	NA	CC32	CC	18S	pcr_blank_1		negative	NA	NA	NA	NA	NA
pcr_blank_2_CC	CN18F	NA	CC64	CC	18S	pcr_blank_2		negative	NA	NA	NA	NA	NA
pcr_blank_3_CC	CN18F	NA	CC96	CC	18S	pcr_blank_3		negative	NA	NA	NA	NA	NA
pcrblank_1_AA	CN18S	NA	AA32	AA	18S	pcrblank_1		negative	NA	NA	NA	NA	NA
pcrblank_1_HH		NA	HH88	HH	18S	pcrblank_1		negative	NA	NA	NA	NA	NA
pcrblank_2_AA	CN18S	NA	AA64	AA	18S	pcrblank_2		negative	NA	NA	NA	NA	NA
pcrblank_2_HH		NA	HH92	HH	18S	pcrblank_2		negative	NA	NA	NA	NA	NA
pcrblank_3_AA		NA	AA96	AA	18S	pcrblank_3		negative	NA	NA	NA	NA	NA
pcrblank_3_HH		NA	HH96	HH	18S	pcrblank_3		negative	NA	NA	NA	NA	NA
