"ASV","20190226_EB","CN18FESPkoa_SC1","CN18FESPkoa_SC59","CN18S_koa3G_SC29","CN18S_koa3G_SC30","CN18S_koa3G_SC31","CN18S_koa3G_SC57","CN18S_koa3G_SC58","CN18S_koa3G_SC59","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5ee181e7af48fbffd85476b1eefd0472",0,79,0,0,0,0,0,0,0,79,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Oceanospirillales"," Halomonadaceae"," Halomonas"," uncultured_bacterium"
"088f0fe22ad2aefbbb7965a5c2657f5d",0,78,0,0,0,0,0,0,0,78,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Ruegeria"," Ruegeria_sp."
"f936cc0095df2ce79b485df5f7fe631a",0,26,0,0,0,45,0,0,3,74,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," Tenacibaculum"," "
"b331a0d2e4e550b00b640b85fe76bb23",0,0,0,14,0,60,0,0,0,74,"Bacteria"," Patescibacteria"," Gracilibacteria"," JGI_0000069-P22"," JGI_0000069-P22"," JGI_0000069-P22"," "
"70b326fa7ea9d5f9544f285d4d8fb14c",0,0,0,0,0,73,0,0,0,73,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Vibrionales"," Vibrionaceae"," Vibrio"," Vibrio_sp."
"11ccdf0ac21b472c65e1b4ed6894c37c",0,70,0,0,0,0,0,0,0,70,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Alteromonadaceae"," "," "
"11ee325db9c7085e72dc342109d818d2",0,68,0,0,0,0,0,0,0,68,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Cellvibrionaceae"," Aestuariicella"," uncultured_bacterium"
"ffd5f36bfdb7286e28b633d9bba4ce82",0,62,0,0,0,0,0,0,0,62,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," Kordia"," "
"44d3a0c7c70f58eb7e1270f80ef0187c",0,59,0,0,0,0,0,0,0,59,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Moraxellaceae"," Psychrobacter"," "
"c5e09db0eecbf5db9483cf3278206a7e",0,0,0,0,14,44,0,0,0,58,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," Ulvibacter"," "
"9c4fb53c48abc2627037657cbb15cdab",0,0,0,0,29,28,0,0,0,57,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
