#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3	Eukaryota	Arthropoda	Malacostraca	Decapoda	Oplophoridae	Acanthephyra	Acanthephyra curtirostris
ASV_46682	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46683	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	unassigned
ASV_46684	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema dohrnii
ASV_46687	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Dendronotidae	g_	s_
ASV_46708	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Tarletonbeania	Tarletonbeania crenularis
ASV_46709	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46710	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	s_
ASV_46736	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46737	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_46738	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46739	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46740	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46741	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46761	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_46762	Eukaryota	Oomycota	Oomycetes	Pythiales	Pythiaceae	g_	s_
ASV_46763	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46764	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_46767	Eukaryota	Placozoa	unknown	unknown	unknown	g_	s_
ASV_46783	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_46784	Eukaryota	Porifera	Demospongiae	Clionaida	unassigned	g_	s_
ASV_46785	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46786	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46787	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46788	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46810	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_46812	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46813	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_46814	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46815	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46816	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	g_	s_
ASV_46817	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_46818	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
