#OTUID	CN18Sc14_8_eDNA	CN18Sc15_8_eDNA	CN18Sc18_8_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC39	CN18SESPkoa_SC41	CN18SESPkoa_SC44
f2b3f83360cc48497f6994363532ee3b	0	0	24	0	175	0	0	0
0f593c675b5e22484a03323bde0fbe15	49	104	262	160	529	66	69	14
eda779de9198f9be9317ecf6596927a1	0	313	119	299	313	51	361	38
55d359c5d46b2f6906ec91c9cade10cc	40	0	43	0	159	0	0	0
d821aeb7d148eb81375909bfdecd8ad9	92	8	96	45	562	21	10	0
d8d24bfd1fe2616ed4d1100a7cb56940	0	29	70	38	308	39	24	9
eadcde9d203357f3d2c417e8a1276369	52	0	44	22	214	18	9	0
e972a1d662c55ebf1b6d9afeb75b3875	68	0	9	0	47	0	0	0
96a544503289da1ac973c80bc068b020	164	0	80	71	235	0	0	0
055b24a8fe7d19c339268f5e3b344a85	25	13	89	30	294	28	18	0
02301f7d1e08451a4244ccf9407ca8a8	0	0	0	0	72	0	0	0
a2afcad6722a75f5b1ec79e56e6fdf02	11	0	9	0	18	0	0	0
203c2fc4840318e3a8180cebb58b26d4	103	0	86	37	210	0	0	0
fb1be430d2943ac61a9afc113282e5c5	91	0	25	0	133	0	0	0
d167b13524d29dd32432572d5e068108	28	0	109	0	432	53	51	0
2a1b9aefd806ce0cae1c26cd91f422bc	94	0	24	0	220	10	0	0
dfee0dfd8c86415a8c8e28784f482990	58	394	419	168	1219	389	426	49
4d5ea57ba7338b0aca057fb93a24b82b	73	200	296	451	606	32	109	21
d92fd995c906b193643c289dece20f43	176	0	7	0	71	0	0	0
626df7db50e41ff90bc187e2964cdd88	89	605	422	619	834	75	240	25
a8938cb2311a91ad93a2bb377ba1c74c	38	0	0	0	44	0	0	0
38305865891ec39e4ca7ece6bdbc98c9	125	0	62	0	207	0	0	0
c5e09db0eecbf5db9483cf3278206a7e	63	1452	346	739	902	155	760	45
381543018d32125591d6c4d5fcfa5450	0	0	0	0	0	0	0	0
dba53424e92d8150b0a59c02c1bd24ef	78	139	143	327	415	11	80	3
d2b064e33428f099f318a587a61dac08	51	0	149	29	521	67	35	0
04ad143f69446246c872c1254e7b51a5	0	0	118	85	264	0	0	0
5b183a14ae2252da51a03097e28e284d	31	0	0	20	107	0	0	0
8c7bd7911f5b87a7a754690741d59e83	0	0	0	0	32	0	0	0
45473a6d9874c6e16553a1cae2a4a67a	0	9	47	0	287	68	37	0
d6ac38b072bcfa653584192186d34a66	71	0	24	0	164	0	0	0
fff755134860d0c5af35d9b2a90f0bb2	0	0	4	4	30	0	0	0
929cbf36f791dd363157d90871061cee	171	0	75	53	153	0	0	0
e06f3f27920f8a3e33177cb0ad67f5cf	0	0	0	0	0	0	0	0
2c769b0e96ba35ca60a6aa3a15f527d8	0	0	0	0	180	0	0	0
b3d73b5df65928a4f8c59f2eb7dcd58b	17	143	258	326	499	41	52	5
eb7db4fe4b93356f6ddcb7469a6ae445	0	0	0	0	0	0	0	0
9e1443d204c8febad33372ad6ae2015d	27	85	228	253	508	67	41	4
ee88fc27f3a4431cdb835e417290044e	109	0	48	42	119	0	0	0
6f4e8d53540daa897094612f2e212f68	14	313	154	451	583	87	308	28
e0daf7fb23a3e9053c033115b7fd9674	29	181	482	659	957	205	318	26
4ae83d74ad719968841b2be6d950de3f	0	0	0	0	0	0	0	0
1dc845204ed8a3db5c8fa893e2e529d4	0	0	0	0	175	0	49	0
d7f52e8f8465d1d364a6176fb2bf6d23	0	59	383	33	3362	462	61	0
183b1085ec7d9b20001265937f063710	160	0	186	50	186	22	0	0
3c25aefde2ab931cbf9149166d8644af	0	0	14	11	25	0	0	0
577ab2fd63927a467fc472aa93939c74	74	144	796	254	983	156	102	7
ed8754e06a54ab743dd09fef81517cd8	0	0	0	7	21	0	0	0
932c1eb16e4bd84bde323fc3d112f0b9	199	0	11	0	122	0	0	0
ad9480c98df5e0bb6467716fecb99efa	12	196	760	261	1046	260	127	0
5f510cf434513fffae3da23d8a55ced4	0	15	202	0	773	553	52	85
398b27b58cd45cd00d44f536a9411b08	0	130	159	45	2011	796	852	108
9d30737a9207c5b11e6993bed6886664	32	64	141	46	1401	177	314	29
041ff3f475b58bb4f640b071e55ff6bb	136	0	0	0	107	0	0	0
0fd35b5eb1fa4701fd522ccabe44cffc	0	0	0	0	0	0	0	0
85dfd33cb49ede4aea49481a438cc2ea	154	0	50	23	106	0	0	0
4a3b62792d37c5af931fb83157505314	0	0	0	0	30	7	0	0
d7c175c5b206160e3c14ffd3ae2019d7	0	0	31	0	62	11	0	0
b5fb61584fb688918ec8c5431cdd4547	152	10	65	19	353	19	15	3
