#OTUID	CN18SKOA_ESP37_NN	CN18SKOA_ESP40_NN	CN18SKOA_ESP42_NN	CN18SKOA_ESP45_NN	CN18SKOA_ESP47_NN	CN18SKOA_ESP49_NN	CN18Sc09_2_eDNA_NN	CN18Sc10_2_eDNA_NN	CN18Sc14_2_eDNA_NN	CN18Sc15_2_eDNA_NN	CN18Sc18_2_eDNA_NN	CN18Sc27_2_eDNA_NN
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	4	0	3	0	0	3	0	0	0	0	8	0
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0
ASV_62	1	0	0	4	1	0	0	0	0	0	0	0
ASV_63	1	2	0	0	0	0	0	0	0	0	0	0
ASV_65	0	1	0	1	0	0	0	0	2	0	0	0
ASV_68	0	0	2	0	0	0	0	0	0	0	422	0
ASV_72	18	0	2	0	8	1	4	0	8	0	8	1029
ASV_73	0	0	0	0	0	0	0	0	0	0	0	0
ASV_75	0	0	0	0	0	0	0	0	0	0	0	303
ASV_76	2320	0	0	0	0	0	1576	2	0	0	0	716
ASV_81	0	0	0	2	5	0	4	0	13	0	0	0
ASV_83	29	0	24	0	0	39	10	0	0	0	20	1
ASV_86	0	0	0	0	0	283	0	0	129	0	0	0
ASV_87	0	0	0	0	0	0	0	0	0	0	14	569
ASV_88	1136	4718	0	0	62	3	0	1	7	0	1616	5
ASV_90	0	0	0	1	0	0	2	0	0	0	0	0
ASV_91	1	0	0	0	1	0	0	0	1	1	0	0
ASV_93	2	0	0	0	0	1	0	0	0	0	0	0
ASV_94	13	0	3767	2	9	19191	9629	0	3	0	7	16
ASV_96	0	0	4425	1	1	0	0	0	0	0	1216	1
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	1	0	0	0	0	1	438	0	3	0	0
ASV_109	0	0	0	0	0	1	0	0	0	0	0	0
ASV_114	0	0	0	0	0	2	0	0	0	0	0	0
ASV_115	0	616	0	0	0	0	0	0	5	0	47	0
ASV_116	0	0	0	0	1	0	0	0	0	288	0	0
ASV_121	0	0	0	0	0	0	0	0	0	0	0	0
ASV_136	0	0	0	0	0	0	0	0	0	0	0	0
ASV_138	1	0	0	3	4	1	0	0	0	0	1	0
ASV_144	889	4	0	0	0	0	0	0	1	0	1	633
ASV_146	60	0	0	0	33	4	15	0	15	0	10	77
ASV_147	0	0	0	0	0	0	0	0	0	0	0	0
ASV_154	52	0	0	1	0	0	0	0	0	0	0	0
ASV_158	0	0	0	0	0	0	0	0	0	13	20	0
ASV_164	0	0	0	7	0	0	0	0	0	0	4	935
ASV_176	0	0	0	0	0	0	0	0	216	0	0	0
ASV_190	0	0	3	0	0	0	0	0	0	0	3	0
ASV_204	0	0	0	1	0	0	0	0	0	0	0	0
ASV_205	0	0	0	0	0	0	0	0	0	0	0	0
ASV_214	0	0	0	0	0	0	0	0	0	0	0	0
ASV_221	0	0	0	0	0	0	0	0	0	0	0	0
ASV_229	0	1	0	0	0	0	0	0	0	0	1	0
ASV_239	0	0	0	0	0	0	0	101	0	0	0	0
ASV_254	0	0	0	0	0	0	0	0	0	3	0	18
ASV_256	0	2	0	0	0	0	0	1	0	0	0	0
ASV_261	0	0	0	0	0	0	0	0	0	86	11	0
ASV_266	0	0	0	0	0	0	0	0	1	0	0	0
ASV_279	24	11	5	27	19	15	5	0	9	28	14	5
ASV_286	53	84	12	0	0	0	0	0	0	0	4	0
ASV_295	0	0	0	0	0	0	2	0	0	93	0	0
ASV_300	0	0	0	0	0	0	0	0	0	0	17	0
ASV_303	0	0	0	0	0	0	1	0	1	0	0	0
ASV_304	0	0	1	0	0	3	0	0	0	0	0	0
ASV_322	0	0	0	0	0	0	0	0	0	0	0	0
ASV_328	0	0	0	1	0	0	0	0	0	0	0	0
ASV_333	2	0	1	0	0	0	0	0	0	0	0	0
ASV_336	0	0	0	0	2	0	0	0	0	0	0	0
ASV_340	0	0	0	0	0	0	0	0	0	0	0	0
ASV_343	0	0	0	0	0	0	0	0	0	0	0	0
ASV_345	0	0	0	0	0	0	0	0	0	0	0	0
ASV_347	0	0	0	0	0	0	0	0	0	0	0	0
ASV_348	3	0	0	1	0	0	1	0	0	0	0	0
ASV_350	0	0	0	6	0	0	0	0	0	0	0	0
ASV_359	7	9	18	25	15	9	0	6	3	7	4	5
ASV_372	0	0	0	0	0	0	0	0	0	0	0	0
ASV_379	3	0	0	0	3	0	2	0	0	0	3	6
ASV_383	0	1	0	0	0	0	0	0	0	0	0	0
ASV_387	0	0	0	0	0	0	0	0	0	4	0	0
ASV_390	0	0	0	0	0	0	0	0	0	0	0	0
ASV_393	0	3	0	0	0	0	0	0	1	0	0	0
ASV_394	0	0	0	0	1	0	0	0	0	0	0	0
ASV_395	0	0	0	5	3	0	1	5	0	2	0	0
ASV_399	0	0	0	1	0	0	0	0	0	5	0	0
ASV_407	0	0	0	0	0	0	0	0	0	0	0	0
ASV_415	0	0	0	0	0	0	0	0	0	0	0	0
ASV_418	0	0	0	0	0	0	0	0	0	0	0	0
ASV_436	0	0	0	0	0	0	0	0	0	0	22	0
ASV_442	0	0	0	0	0	0	0	0	0	0	0	0
ASV_443	0	0	0	0	0	0	0	0	0	0	0	0
ASV_448	1	2	0	0	0	0	0	1	0	0	4	1
ASV_451	0	0	0	0	0	0	0	0	0	0	0	0
ASV_456	0	0	0	0	0	0	0	0	0	0	0	0
ASV_462	0	0	0	0	0	0	0	0	0	0	0	0
ASV_470	6	1	3	2	2	2	2	1	1	1	0	1
ASV_474	0	0	0	0	0	0	0	0	0	0	0	0
ASV_482	0	0	0	0	0	0	0	0	0	0	0	0
ASV_496	0	0	0	0	0	0	0	0	0	0	0	0
ASV_497	0	0	0	0	0	0	0	0	2	0	0	0
ASV_510	0	0	0	0	0	0	0	0	0	0	0	0
ASV_522	0	0	0	0	0	0	0	0	0	0	0	0
ASV_537	0	0	0	0	0	0	0	0	0	0	0	0
ASV_553	0	0	0	0	7	0	0	0	0	0	0	0
ASV_564	0	0	0	0	0	0	0	0	0	0	0	0
