#OTUID	CN18SESPkoa_SC36_Y	CN18SESPkoa_SC39_Y	CN18SESPkoa_SC41_Y	CN18SESPkoa_SC44_Y	CN18Sc14_8_eDNA_Y	CN18Sc15_8_eDNA_Y	CN18Sc18_8_eDNA_Y	CN18Sc27_8_eDNA_Y
ASV_3708	1	1	0	0	6	0	0	1
ASV_3720	1	0	0	0	3	0	0	0
ASV_3888	0	0	0	0	0	0	0	0
ASV_3894	0	0	0	0	0	0	0	0
ASV_4066	0	0	0	0	0	0	0	0
ASV_4195	0	0	0	0	0	0	0	0
ASV_4365	0	0	0	0	3	0	0	0
ASV_4573	0	0	0	0	0	0	0	0
ASV_4638	0	1	0	0	0	0	0	0
ASV_4912	0	0	0	0	0	0	0	0
ASV_4914	0	0	0	0	0	0	0	0
ASV_4976	0	0	0	0	0	0	0	0
ASV_5028	7	10	0	0	0	2	3	1
ASV_5109	0	0	2	2	1	4	5	4
ASV_5240	0	0	0	0	0	0	0	0
ASV_5263	0	0	0	0	1	0	0	0
ASV_5643	0	0	0	0	0	0	0	0
ASV_6761	0	0	0	0	0	0	0	0
ASV_6797	0	0	0	0	0	0	0	0
ASV_6799	0	0	0	0	0	0	0	0
ASV_6818	51	0	7	3	27	0	45	0
ASV_6904	0	0	0	0	0	0	0	0
ASV_7261	0	0	0	0	0	0	0	0
ASV_7485	0	0	0	0	0	0	0	0
ASV_7490	0	0	0	0	0	0	0	0
ASV_7589	0	0	0	0	0	0	0	0
ASV_7599	0	0	0	0	0	0	0	0
ASV_7625	0	0	0	0	0	0	0	0
ASV_7656	0	0	0	1	0	0	2	0
ASV_7700	0	0	0	0	0	0	0	0
ASV_7711	0	0	0	0	0	0	0	0
ASV_7743	0	0	0	0	0	0	0	0
ASV_7804	0	0	0	0	0	0	0	0
ASV_7835	0	0	0	0	0	0	0	0
ASV_7849	0	0	0	0	0	0	0	0
ASV_7897	0	1	0	0	1	0	0	0
ASV_7900	0	0	0	0	0	0	0	0
ASV_8225	2397	1078	1818	1822	1143	2683	1461	2088
ASV_8226	2521	1983	4736	4095	2218	5505	2215	4340
ASV_8227	2958	0	1	0	0	4	1	0
ASV_8228	0	0	0	0	0	0	0	0
ASV_8229	1842	693	272	286	491	361	817	98
ASV_8230	0	0	0	0	0	0	0	0
ASV_8231	0	0	0	1	0	2	1	0
ASV_8232	1	0	1	0	0	1	17	0
ASV_8233	1048	249	5633	4464	100	6001	281	729
ASV_8234	181	42	55	53	149	121	167	5
ASV_8235	0	0	0	0	6240	2	0	0
ASV_8236	0	0	5	0	0	0	0	0
ASV_8238	0	0	0	0	0	0	0	0
ASV_8241	0	338	0	0	0	0	0	1339
ASV_8242	198	37	563	450	16	1396	76	1600
ASV_8243	1	0	0	0	0	0	5278	1
ASV_8244	0	0	0	0	0	0	0	0
ASV_8246	419	85	40	38	687	54	262	166
ASV_8247	0	0	0	0	0	0	0	0
ASV_8248	6630	11798	3838	4426	8	189	509	97
ASV_8249	0	0	0	0	0	0	0	0
ASV_8250	3	0	1	0	0	0	26	1
