#OTUID	CN18SESPkoa_SC37_Y	CN18SESPkoa_SC40_Y	CN18SESPkoa_SC42_Y	CN18SESPkoa_SC45_Y	CN18SESPkoa_SC47_Y	CN18SESPkoa_SC49_Y	CN18Sc09_2_eDNA_Y	CN18Sc10_2_eDNA_Y	CN18Sc14_2_eDNA_Y	CN18Sc15_2_eDNA_Y	CN18Sc18_2_eDNA_Y	CN18Sc27_2_eDNA_Y
ASV_8230	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8231	2	0	0	0	0	0	0	0	0	0	1	0
ASV_8232	0	0	12	0	2	0	1	0	0	0	0	0
ASV_8233	114	136	400	57	171	125	175	196	90	142	116	28
ASV_8234	609	554	512	369	1435	412	1156	799	302	608	284	127
ASV_8235	0	0	0	0	0	0	0	0	54	0	1	0
ASV_8236	0	0	0	0	0	16	20	0	0	0	0	0
ASV_8238	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8241	3	0	0	0	0	0	0	0	0	0	0	0
ASV_8242	3	1	0	21	16	0	0	2	18	0	95	0
ASV_8243	0	6	3124	0	0	0	0	1	0	0	0	0
ASV_8244	0	0	0	0	0	0	0	0	0	0	1	0
ASV_8246	1041	376	1134	610	913	785	1210	1374	1693	457	492	491
ASV_8247	0	0	2	0	0	0	0	0	0	0	1	0
ASV_8248	517	839	156	1405	1526	1044	24	81	354	3	65	1
ASV_8249	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8250	0	0	0	0	0	0	0	29	0	0	0	0
ASV_8251	113	180	340	186	476	172	551	376	294	327	222	47
ASV_8252	20	4	0	43	0	0	34	15	10	0	0	10
ASV_8253	0	0	0	26	0	0	0	0	0	0	0	0
ASV_8254	0	0	0	0	0	0	0	2	0	0	0	0
ASV_8257	24	4	98	86	327	103	68	631	95	92	51	2
ASV_8259	9	9	0	2	26	12	3	2	27	4	0	0
ASV_8260	10	0	1	0	0	5	0	0	2	0	0	1
ASV_8261	0	0	0	0	0	0	0	0	0	0	0	2
ASV_8262	0	0	13	0	0	0	10	0	0	0	0	0
ASV_8263	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8264	9	51	81	88	81	91	53	104	40	94	116	2
ASV_8265	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8269	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8270	0	0	28	3	1	4	2	4	5	10	17	0
ASV_8271	455	137	103	483	473	259	142	169	65	3	2	0
ASV_8272	0	0	0	8	0	2	0	0	3	1	11	0
ASV_8274	0	0	0	0	0	6	0	0	0	0	0	0
ASV_8276	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8277	0	0	0	0	0	5	0	0	0	0	0	0
ASV_8279	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8280	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8281	0	0	0	0	1	1	0	0	0	0	0	0
ASV_8283	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8284	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8286	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8287	0	0	0	0	0	0	0	0	0	0	1	0
ASV_8289	0	0	0	36	0	0	0	0	0	0	0	0
ASV_8290	5	0	2	15	75	10	5	22	48	15	33	0
ASV_8291	3	0	0	1	0	2	0	0	0	0	3	0
ASV_8293	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8294	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8296	972	526	945	741	844	822	1062	1086	568	598	169	223
ASV_8298	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8301	5	49	129	13	50	0	152	14	395	116	2	0
ASV_8302	2	0	9	1	6	3	1	1	4	3	2	0
ASV_8303	1843	839	1738	1513	2762	1419	2116	2831	1652	1367	925	708
ASV_8304	21	44	5	25	21	20	5	27	18	6	34	0
ASV_8305	1	0	0	3	0	0	29	7	0	0	0	0
ASV_8307	40	441	31	72	53	0	0	19	146	8	1	0
ASV_8308	5	8	13	60	87	25	6	61	25	37	16	13
ASV_8309	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8310	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8311	2	0	24	0	8	0	6	0	2	1	3	0
ASV_8312	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8314	1	6	13	4	4	5	8	127	29	14	9	0
ASV_8315	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8316	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8318	4	0	0	7	0	0	4166	0	0	0	0	0
ASV_8319	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8320	0	0	0	1	0	0	0	0	0	0	0	0
ASV_8321	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8323	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8324	0	0	0	0	345	147	182	2	0	0	0	0
ASV_8325	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8326	0	0	0	0	0	0	1	0	0	0	0	0
ASV_8328	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8329	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8330	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8331	124	37	85	120	121	33	82	45	246	159	76	2
ASV_8332	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8333	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8334	0	0	2	0	0	0	0	0	0	0	4	0
ASV_8337	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8339	0	96	0	28	30	13	0	44	35	0	10	163
