"","20171019_EB_NN","20180710_EB_NN","20181211_EB_OO","20181212_EB_OO","20181218_EB_OO","20190619_EB_QQ","CN18FESPkoa_BN1post_OO","CN18FESPkoa_BN1pre_OO","CN18FESPkoa_BN2post_OO","CN18FESPkoa_BN2pre_OO","CN18FESPkoa_BN3post_OO","CN18FESPkoa_BN3pre_OO","CN18FESPkoa_BP1_OO","CN18FESPkoa_BP2_OO","CN18FESPkoa_BP3_OO","CN18FESPkoa_SC1_OO","CN18FESPkoa_SC24_OO","CN18FESPkoa_SC26_OO","CN18FESPkoa_SC29_OO","CN18FESPkoa_SC30_OO","CN18FESPkoa_SC31_OO","CN18FESPkoa_SC32_OO","CN18FESPkoa_SC34_OO","CN18FESPkoa_SC35_OO","CN18FESPkoa_SC37_OO","CN18FESPkoa_SC40_OO","CN18FESPkoa_SC41_OO","CN18FESPkoa_SC43_OO","CN18FESPkoa_SC44_OO","CN18FESPkoa_SC46_OO","CN18FESPkoa_SC47_OO","CN18FESPkoa_SC49_OO","CN18FESPkoa_SC52_OO","CN18FESPkoa_SC53_OO","CN18FESPkoa_SC55_OO","CN18FESPkoa_SC56_OO","CN18FESPkoa_SC57_OO","CN18FESPkoa_SC58_OO","CN18FESPkoa_SC59_OO","CN18Fc12_8_eDNA_OO","CN18Fc21_6_eDNA_OO","CN18Fc22_6_eDNA_OO","CN18Fc24_6_eDNA_OO","CN18Fc25_5_eDNA_OO","CN18Fc27_4_eDNA_OO","CN18Fc29_6_eDNA_OO","CN18Fc30_4_eDNA_OO","CN18Fc32_4_eDNA_OO","CN18Fc33_5_eDNA_OO","CN18Fc35_5_eDNA_OO","CN18Fc36_6_eDNA_OO","CN18Fc38_5_eDNA_OO","CN18Fc40_6_eDNA_OO","CN18Fc41_6_eDNA_OO","CN18Fc43_5_eDNA_OO","CN18Fc44_8_eDNA_OO","CN18Fc46_8_eDNA_OO","CN18SKOA_ESP36_NN","CN18SKOA_ESP37_NN","CN18SKOA_ESP39_NN","CN18SKOA_ESP40_NN","CN18SKOA_ESP41_NN","CN18SKOA_ESP42_NN","CN18SKOA_ESP44_NN","CN18SKOA_ESP45_NN","CN18SKOA_ESP47_NN","CN18SKOA_ESP49_NN","CN18S_koa3G_BN1post_NN","CN18S_koa3G_BN1pre_NN","CN18S_koa3G_BN2post_NN","CN18S_koa3G_BN2pre_NN","CN18S_koa3G_BN3post_NN","CN18S_koa3G_BN3pre_NN","CN18S_koa3G_BP1_NN","CN18S_koa3G_BP2_NN","CN18S_koa3G_BP3_NN","CN18S_koa3G_SC29_NN","CN18S_koa3G_SC30_NN","CN18S_koa3G_SC31_NN","CN18S_koa3G_SC57_NN","CN18S_koa3G_SC58_NN","CN18S_koa3G_SC59_NN","CN18Sc09_2_eDNA_NN","CN18Sc10_2_eDNA_NN","CN18Sc14_2_eDNA_NN","CN18Sc14_8_eDNA_NN","CN18Sc15_2_eDNA_NN","CN18Sc15_8_eDNA_NN","CN18Sc18_2_eDNA_NN","CN18Sc18_8_eDNA_NN","CN18Sc27_2_eDNA_NN","CN18Sc27_8_eDNA_NN","pcrblank_1_NN","pcrblank_1_OO","pcrblank_1_QQ","pcrblank_2_NN","pcrblank_2_OO","pcrblank_2_QQ","pcrblank_3_NN","pcrblank_3_OO","pcrblank_3_QQ"
"ASV_2440",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"ASV_2441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2442",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2,21,0,6,1,18,11,27,0,0,0,0,0,0,0,39,114,135,0,1,0,0,0,0,2,0,20,9,1,39,0,13,3,12,1,0,0,0,0,0,0,0,0
"ASV_2443",11,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,10,5,10618,44,0,0,0,0,1,0,0,2,0,0,1,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"ASV_2444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,67,0,2,0,0,10586,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9660,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"ASV_2446",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2447",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,10,0,11,0,16,3,11,0,1,0,3,0,0,0,39,50,91,0,0,0,0,0,0,4,0,11,3,0,21,0,15,0,5,0,0,0,0,0,0,0,0,0
"ASV_2448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2451",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
