,SAMPLING_cruise,depth,library,libraryID,locus,original_name,samp_collection_device,sample_type.x,sample_type.y,CTD_or_ESP,ESP_CTD,ESP_CTD_ID,matching_ID
CN18Sc27_8_eDNA_NN,CN18S,30,NN65,NN,,CN18Sc27_8_eDNA,,environmental,environmental,CTD,,CTD1,CN18S1
pcrblank_1_NN,,NA,NN32,NN,,pcrblank_1,,negative,NA,NA,NA,NA,NA
pcrblank_1_OO,,NA,OO32,OO,,pcrblank_1,,negative,NA,NA,NA,NA,NA
pcrblank_1_QQ,,NA,QQ32,QQ,12S,pcrblank_1,,negative,NA,NA,NA,NA,NA
pcrblank_2_NN,CN18S,NA,NN64,NN,,pcrblank_2,,negative,NA,NA,NA,NA,NA
pcrblank_2_OO,,NA,OO64,OO,,pcrblank_2,,negative,NA,NA,NA,NA,NA
pcrblank_2_QQ,,NA,QQ64,QQ,12S,pcrblank_2,,negative,NA,NA,NA,NA,NA
pcrblank_3_NN,,NA,NN96,NN,,pcrblank_3,,negative,NA,NA,NA,NA,NA
pcrblank_3_OO,,NA,OO96,OO,,pcrblank_3,,negative,NA,NA,NA,NA,NA
pcrblank_3_QQ,,NA,QQ96,QQ,12S,pcrblank_3,,negative,NA,NA,NA,NA,NA
