"","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_BN1post_CC","CN18FESPkoa_BN1pre_CC","CN18FESPkoa_BN2post_CC","CN18FESPkoa_BN2pre_CC","CN18FESPkoa_BN3post_CC","CN18FESPkoa_BN3pre_CC","CN18FESPkoa_BP1_CC","CN18FESPkoa_BP2_CC","CN18FESPkoa_BP3_CC","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC24_CC","CN18FESPkoa_SC26_CC","CN18FESPkoa_SC29_CC","CN18FESPkoa_SC2_CC","CN18FESPkoa_SC30_CC","CN18FESPkoa_SC31_CC","CN18FESPkoa_SC32_CC","CN18FESPkoa_SC34_CC","CN18FESPkoa_SC35_CC","CN18FESPkoa_SC37_CC","CN18FESPkoa_SC40_CC","CN18FESPkoa_SC41_CC","CN18FESPkoa_SC43_CC","CN18FESPkoa_SC44_CC","CN18FESPkoa_SC46_CC","CN18FESPkoa_SC47_CC","CN18FESPkoa_SC49_CC","CN18FESPkoa_SC52_CC","CN18FESPkoa_SC53_CC","CN18FESPkoa_SC55_CC","CN18FESPkoa_SC56_CC","CN18FESPkoa_SC57_CC","CN18FESPkoa_SC58_CC","CN18FESPkoa_SC59_CC","CN18FESPkoa_SC60_CC","CN18Fc12_8_eDNA_HH","CN18Fc19_5_eDNA_HH","CN18Fc21_6_eDNA_HH","CN18Fc22_6_eDNA_HH","CN18Fc24_6_eDNA_HH","CN18Fc25_5_eDNA_HH","CN18Fc27_4_eDNA_HH","CN18Fc29_6_eDNA_HH","CN18Fc30_4_eDNA_HH","CN18Fc32_4_eDNA_HH","CN18Fc33_5_eDNA_HH","CN18Fc35_5_eDNA_HH","CN18Fc36_6_eDNA_HH","CN18Fc38_5_eDNA_HH","CN18Fc40_6_eDNA_HH","CN18Fc41_6_eDNA_HH","CN18Fc43_5_eDNA_HH","CN18Fc44_8_eDNA_HH","CN18Fc46_8_eDNA_HH","CN18Fc47_6_eDNA_HH","CN18Fc49_6_eDNA_HH","CN18Fc51_5_eDNA_HH","CN18SESPkoa_SC32_AA","CN18SESPkoa_SC36_AA","CN18SESPkoa_SC37_AA","CN18SESPkoa_SC39_AA","CN18SESPkoa_SC40_AA","CN18SESPkoa_SC41_AA","CN18SESPkoa_SC42_AA","CN18SESPkoa_SC44_AA","CN18SESPkoa_SC45_AA","CN18SESPkoa_SC47_AA","CN18SESPkoa_SC49_AA","CN18S_koa3G_BN1post_CC","CN18S_koa3G_BN1pre_CC","CN18S_koa3G_BN2post_CC","CN18S_koa3G_BN2pre_CC","CN18S_koa3G_BN3post_CC","CN18S_koa3G_BN3pre_CC","CN18S_koa3G_BP1_CC","CN18S_koa3G_BP2_CC","CN18S_koa3G_BP3_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","CN18S_koa3G_SC60_CC","CN18Sc09_2_eDNA_AA","CN18Sc10_2_eDNA_AA","CN18Sc14_2_eDNA_AA","CN18Sc14_8_eDNA_AA","CN18Sc15_2_eDNA_AA","CN18Sc15_8_eDNA_AA","CN18Sc18_2_eDNA_AA","CN18Sc18_8_eDNA_AA","CN18Sc27_2_eDNA_AA","CN18Sc27_8_eDNA_AA","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH"
"ASV_4286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4287",0,0,0,0,0,0,0,0,0,0,30,0,27,0,0,0,11,11,5,0,16,4,11,7,7,2,0,0,8,1,4,0,1,1,1,1,2,22,3,0,5,4,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4288",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,7,1,12,16,10,20,11,17,10,25,24,17,10,21,4,6,19,24,4,14,19,0,0,2,25,33,31,27,11,49,59,68,3,19,25,26,36,20,40,32,19,3,19,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2,9,2,1,2,1,18,32,36,38,49,9,78,0,2,3,7,0,0,6,11,6,7,31,3,35,223,4,0,11,0,3,0,20,3,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4290",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,10,0,0,18,0,151,35,16,32,1,7,27,0,0,0,21,0,50,0,0,0,1,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,11,56,6,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4291",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,332,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,521,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,17,20,0,9,6,23,0,37,15,48,0,0,5,29,18,9,0,1,0,0,0,1,8,8,16,2,9,10,0,0,5,7,0,8,14,26,14,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4294",0,0,0,0,0,0,0,420,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4295",0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4,0,14,3,3,26,2,1,1,1,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,8,0,0,0,0,0,0,0,6,5,1,1,2,0,41,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,2,4,12,40,14,20,36,36,21,17,26,13,10,18,22,5,4,5,7,0,0,8,1,1,3,6,0,5,3,1,0,3,0,3,2,9,3,6,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,9,5,0,12,11,23,30,30,38,0,10,10,7,22,13,4,7,21,5,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,73,48,57,0,2,0,0,0,2,8,0,0,0,0,9,0,15,0,0,0,0,0,8,0,0,0,0,0,87,0,11,0,0,1,0,10,0,7,0,0,0,0,0,0,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
