"","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_BN1post_CC","CN18FESPkoa_BN1pre_CC","CN18FESPkoa_BN2post_CC","CN18FESPkoa_BN2pre_CC","CN18FESPkoa_BN3post_CC","CN18FESPkoa_BN3pre_CC","CN18FESPkoa_BP1_CC","CN18FESPkoa_BP2_CC","CN18FESPkoa_BP3_CC","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC24_CC","CN18FESPkoa_SC26_CC","CN18FESPkoa_SC29_CC","CN18FESPkoa_SC2_CC","CN18FESPkoa_SC30_CC","CN18FESPkoa_SC31_CC","CN18FESPkoa_SC32_CC","CN18FESPkoa_SC34_CC","CN18FESPkoa_SC35_CC","CN18FESPkoa_SC37_CC","CN18FESPkoa_SC40_CC","CN18FESPkoa_SC41_CC","CN18FESPkoa_SC43_CC","CN18FESPkoa_SC44_CC","CN18FESPkoa_SC46_CC","CN18FESPkoa_SC47_CC","CN18FESPkoa_SC49_CC","CN18FESPkoa_SC52_CC","CN18FESPkoa_SC53_CC","CN18FESPkoa_SC55_CC","CN18FESPkoa_SC56_CC","CN18FESPkoa_SC57_CC","CN18FESPkoa_SC58_CC","CN18FESPkoa_SC59_CC","CN18FESPkoa_SC60_CC","CN18Fc12_8_eDNA_HH","CN18Fc19_5_eDNA_HH","CN18Fc21_6_eDNA_HH","CN18Fc22_6_eDNA_HH","CN18Fc24_6_eDNA_HH","CN18Fc25_5_eDNA_HH","CN18Fc27_4_eDNA_HH","CN18Fc29_6_eDNA_HH","CN18Fc30_4_eDNA_HH","CN18Fc32_4_eDNA_HH","CN18Fc33_5_eDNA_HH","CN18Fc35_5_eDNA_HH","CN18Fc36_6_eDNA_HH","CN18Fc38_5_eDNA_HH","CN18Fc40_6_eDNA_HH","CN18Fc41_6_eDNA_HH","CN18Fc43_5_eDNA_HH","CN18Fc44_8_eDNA_HH","CN18Fc46_8_eDNA_HH","CN18Fc47_6_eDNA_HH","CN18Fc49_6_eDNA_HH","CN18Fc51_5_eDNA_HH","CN18SESPkoa_SC32_AA","CN18SESPkoa_SC36_AA","CN18SESPkoa_SC37_AA","CN18SESPkoa_SC39_AA","CN18SESPkoa_SC40_AA","CN18SESPkoa_SC41_AA","CN18SESPkoa_SC42_AA","CN18SESPkoa_SC44_AA","CN18SESPkoa_SC45_AA","CN18SESPkoa_SC47_AA","CN18SESPkoa_SC49_AA","CN18S_koa3G_BN1post_CC","CN18S_koa3G_BN1pre_CC","CN18S_koa3G_BN2post_CC","CN18S_koa3G_BN2pre_CC","CN18S_koa3G_BN3post_CC","CN18S_koa3G_BN3pre_CC","CN18S_koa3G_BP1_CC","CN18S_koa3G_BP2_CC","CN18S_koa3G_BP3_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","CN18S_koa3G_SC60_CC","CN18Sc09_2_eDNA_AA","CN18Sc10_2_eDNA_AA","CN18Sc14_2_eDNA_AA","CN18Sc14_8_eDNA_AA","CN18Sc15_2_eDNA_AA","CN18Sc15_8_eDNA_AA","CN18Sc18_2_eDNA_AA","CN18Sc18_8_eDNA_AA","CN18Sc27_2_eDNA_AA","CN18Sc27_8_eDNA_AA","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH"
"ASV_4299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,164,1,0,31,3,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4301",0,0,0,0,0,0,0,0,0,0,2,0,72,0,0,0,12,4,8,3,7,0,2,7,4,6,13,15,7,7,6,5,13,5,5,0,6,6,8,8,3,8,6,0,16,10,4,9,6,8,5,7,7,4,0,8,0,2,2,13,11,5,11,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4302",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,97,0,2,0,0,0,0,5,9,0,0,0,0,0,0,0,4,21,36,0,23,20,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,7,4,7,11,4,13,6,21,23,27,18,13,31,8,12,1,19,18,14,10,10,0,1,15,5,22,22,9,2,21,25,6,1,19,12,10,13,17,13,25,13,7,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4304",0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4306",0,0,0,0,0,0,19,9,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,224,0,31,0,0,0,0,21,0,33,13,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4307",0,0,0,0,0,0,424,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
