"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_8246",808,0,986,302,100,67,385,499,0,0,21,0,51,74,164,1064
"ASV_8247",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV_8248",8798,226,1562,3582,318,1297,909,443,6,1,5876,12337,11251,5671,2220,3693
"ASV_8250",0,1,264,84,0,1,443,9,7,0,9,0,0,6,13,129
"ASV_8251",606,207,1216,1516,170,1048,2775,1694,562,8,734,973,346,607,1443,2888
"ASV_8252",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8253",0,26,3,16,1457,294,0,14,4,115,85,0,248,419,31,0
"ASV_8254",604,0,57,39,0,165,150,259,0,0,160,0,43,65,262,368
"ASV_8257",319,8,423,180,71,92,241,55,49,2,97,0,30,10,111,615
"ASV_8259",222,164,28,268,181,144,285,193,35,2,144,0,110,94,482,267
"ASV_8260",0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8262",40,0,0,10,0,0,0,8,0,0,0,0,2,2,0,4
"ASV_8264",543,0,179,76,0,3,64,45,0,0,11,0,9,9,33,242
"ASV_8265",0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,19
"ASV_8270",15,14,73,9,0,3,283,73,4,0,10,0,2,1,199,167
"ASV_8271",4337,88,900,2625,211,781,321,468,1,0,2569,3367,6415,3118,861,2712
"ASV_8272",2,47,2,38,0,71,779,152,0,17,34,0,0,12,257,419
"ASV_8274",0,11,0,0,3,0,0,0,2,0,0,0,0,5,0,0
"ASV_8275",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8277",0,3,0,0,0,0,0,0,0,97,1,0,0,1,0,0
"ASV_8281",2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ASV_8283",0,0,34,5,0,0,24,12,0,0,2,0,0,0,20,17
"ASV_8285",0,816,92,73,245,471,1003,286,121,0,0,0,224,46,517,861
"ASV_8286",0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0
"ASV_8287",0,8,0,2,0,0,0,4,2,0,0,0,0,0,0,0
"ASV_8290",1259,282,387,531,1118,3212,2289,1126,106,151,1329,27,780,2008,1464,880
"ASV_8293",1,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0
"ASV_8295",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"ASV_8296",665,0,104,110,2,17,0,120,33,0,12,0,26,56,0,0
